run#	day	points nbr	morning	evening forseen	evening actual
19	6	45	06:11	17:48	17:29                                                                                                                                                                                                                                       
19	7	43	06:18	17:51	17:43                                                                                                                                                                                                                                       
20	1	44	06:10	17:51	17:48                                                                                                                                                                                                                                       
20	2	44	06:12	17:54	17:45                                                                                                                                                                                                                                       
20	3	45	06:22	17:50	17:37                                                                                                                                                                                                                                       
20	4	46	06:16	17:53	17:46                                                                                                                                                                                                                                       
20	5	46	06:18	17:50	17:48                                                                                                                                                                                                                                       
20	6	44	06:19	17:53	17:41                                                                                                                                                                                                                                       
20	7	44	06:22	17:50	17:42                                                                                                                                                                                                                                       
21	1	45	06:19	17:55	17:44                                                                                                                                                                                                                                       
21	2	46	06:16	17:50	17:46                                                                                                                                                                                                                                       
21	3	46	06:19	17:53	17:49                                                                                                                                                                                                                                       
21	4	46	06:16	17:52	17:46                                                                                                                                                                                                                                       
21	5	46	06:19	17:51	17:49                                                                                                                                                                                                                                       
21	6	42	06:19	17:51	17:45                                                                                                                                                                                                                                       
21	7	45	06:21	17:49	17:36                                                                                                                                                                                                                                       
22	1	44	06:23	17:50	17:49                                                                                                                                                                                                                                       
22	2	44	06:15	17:49	17:38                                                                                                                                                                                                                                       
22	3	46	06:14	17:52	17:44                                                                                                                                                                                                                                       
22	4	40	06:17	17:51	17:48                                                                                                                                                                                                                                       
22	5	45	06:17	17:52	17:43                                                                                                                                                                                                                                       
22	6	42	06:14	17:48	17:38                                                                                                                                                                                                                                       
22	7	43	06:22	17:52	17:31                                                                                                                                                                                                                                       
23	1	46	06:17	17:56	17:51                                                                                                                                                                                                                                       
23	2	45	06:17	17:51	17:42                                                                                                                                                                                                                                       
23	3	45	06:14	17:52	17:38                                                                                                                                                                                                                                       
23	4	46	06:19	17:53	17:49                                                                                                                                                                                                                                       
23	5	45	06:16	17:51	17:46                                                                                                                                                                                                                                       
23	6	44	06:20	17:49	17:41                                                                                                                                                                                                                                       
23	7	44	06:12	17:48	17:37                                                                                                                                                                                                                                       
24	1	42	06:15	17:52	17:51                                                                                                                                                                                                                                       
24	2	40	06:15	17:49	17:40                                                                                                                                                                                                                                       
24	3	44	06:22	17:48	17:43                                                                                                                                                                                                                                       
24	4	45	06:16	17:49	17:45                                                                                                                                                                                                                                       
24	5	40	06:22	17:52	17:44                                                                                                                                                                                                                                       
24	6	43	06:21	17:48	17:37                                                                                                                                                                                                                                       
24	7	46	06:21	17:54	17:51                                                                                                                                                                                                                                       
25	1	46	06:17	17:50	17:47                                                                                                                                                                                                                                       
25	2	45	06:18	17:50	17:41                                                                                                                                                                                                                                       
25	3	46	06:16	17:52	17:44                                                                                                                                                                                                                                       
25	4	45	06:16	17:48	17:35                                                                                                                                                                                                                                       
25	5	44	06:20	17:51	17:43                                                                                                                                                                                                                                       
25	6	46	06:10	17:51	17:40                                                                                                                                                                                                                                       
25	7	45	06:22	17:54	17:47                                                                                                                                                                                                                                       
26	1	46	06:11	17:55	17:41                                                                                                                                                                                                                                       
26	2	44	06:17	17:52	17:42                                                                                                                                                                                                                                       
26	3	46	06:18	17:52	17:48                                                                                                                                                                                                                                       
26	4	46	06:14	17:51	17:44                                                                                                                                                                                                                                       
26	5	46	06:17	17:52	17:47                                                                                                                                                                                                                                       
26	6	46	06:15	17:52	17:45                                                                                                                                                                                                                                       
26	7	42	06:17	17:55	17:43                                                                                                                                                                                                                                       
27	1	46	06:19	17:53	17:49                                                                                                                                                                                                                                       
27	2	44	06:13	17:55	17:42                                                                                                                                                                                                                                       
